"ppw" "exp"
"452" -0.107067986029769 "MMP"
"453" -0.232326822885996 "MMP"
"454" 0 "MMP"
"455" -0.232328964245716 "MMP"
"456" -0.107067986029769 "MMP"
"457" -0.214138113419259 "MMP"
"458" -0.10707012738949 "MMP"
"459" -0.107065844670049 "MMP"
"460" -0.107067986029769 "MMP"
"461" -0.107067986029769 "MMP"
"462" -0.339396950275486 "MMP"
"463" -0.339394808915765 "MMP"
"464" -0.339396950275486 "MMP"
"465" -0.339394808915765 "MMP"
"466" -0.232331105605438 "MMP"
"467" -0.107065844670049 "MMP"
"468" 0 "MMP"
"469" -0.232326822885996 "MMP"
"470" 0 "MMP"
"471" 0 "MMP"
"472" -0.339399091635206 "MMP"
"473" 0 "MMP"
"474" 0 "MMP"
"475" -0.446467077664975 "MMP"
"476" -0.339399091635206 "MMP"
"477" -0.339399091635207 "MMP"
"478" -0.232331105605438 "MMP"
"479" -0.339399091635206 "MMP"
"480" -0.446467077664976 "MMP"
"481" -0.232331105605437 "MMP"
"482" -0.446467077664976 "MMP"
"483" -0.339399091635206 "MMP"
"484" -0.339399091635206 "MMP"
"485" -0.446467077664975 "MMP"
"486" -0.553532922335024 "MMP"
"487" -0.446467077664976 "MMP"
"488" -0.446467077664976 "MMP"
"489" -0.107065844670049 "MMP"
"490" 0 "MMP"
"491" -0.214133830699818 "MMP"
"492" -0.10707012738949 "MMP"
"493" -0.232331105605438 "MMP"
"494" -0.446467077664976 "MMP"
"495" -0.553532922335024 "MMP"
"496" -0.553532922335025 "MMP"
"497" -0.553532922335024 "MMP"
"498" -0.446464936305255 "MMP"
"499" -0.446467077664975 "MMP"
"500" -0.446467077664976 "MMP"
"501" -0.10707012738949 "MMP"
"502" -0.339399091635206 "MMP"
"503" -0.10707012738949 "MMP"
"504" -0.232331105605437 "MMP"
"505" -0.446464936305256 "MMP"
"506" -0.232331105605438 "MMP"
"507" 0 "MMP"
"508" -0.339396950275486 "MMP"
"509" -0.339399091635206 "MMP"
"510" -0.339399091635206 "MMP"
"511" -0.232326822885996 "MMP"
"512" -0.553535063694745 "MMP"
"513" -0.339396950275486 "MMP"
"514" -0.553532922335025 "MMP"
"515" -0.446467077664975 "MMP"
"516" -0.446464936305255 "MMP"
"517" -0.446464936305256 "MMP"
"518" 0 "MMP"
"519" -0.553532922335025 "MMP"
"520" -0.339399091635207 "MMP"
"521" -0.232326822885996 "MMP"
"522" -0.107065844670049 "MMP"
"523" -0.10707012738949 "MMP"
"524" -0.446467077664975 "MMP"
"525" -0.107067986029769 "MMP"
"526" -0.107067986029769 "MMP"
"527" -0.553535063694744 "MMP"
"528" -0.339399091635206 "MMP"
"529" -0.553532922335024 "MMP"
"530" -0.446467077664975 "MMP"
"531" -0.678793900550971 "MMP"
"532" -0.678793900550972 "MMP"
"533" -0.214135972059538 "MMP"
"534" -0.339394808915765 "MMP"
"535" -0.571725914521202 "MMP"
"536" -0.446464936305255 "MMP"
"537" -0.107065844670049 "MMP"
"538" -0.339394808915765 "MMP"
"539" -0.553535063694744 "MMP"
"540" -0.660598767005073 "MMP"
"541" -0.767668894394563 "MMP"
"542" -0.785861886580741 "MMP"
"543" -0.89292987261051 "MMP"
"544" -0.553532922335024 "MMP"
"545" -0.660600908364794 "MMP"
"546" -0.553532922335025 "MMP"
"547" -0.214133830699818 "MMP"
"548" -0.446464936305256 "MMP"
"549" -0.446464936305255 "MMP"
"550" -0.107067986029769 "MMP"
"551" -0.999997858640279 "MMP"
"552" -1 "MMP"
"553" -0.553535063694745 "MMP"
"554" -0.553535063694745 "MMP"
"555" -0.107067986029769 "MMP"
"556" -0.214133830699818 "MMP"
"557" 0 "MMP"
"558" 0 "MMP"
"559" -0.339399091635206 "MMP"
"560" 0 "MMP"
"561" 0 "MMP"
"562" -0.553532922335024 "MMP"
"563" -0.339399091635206 "MMP"
"564" -0.446464936305256 "MMP"
"565" -0.339399091635206 "MMP"
"566" -0.232331105605438 "MMP"
"567" -0.107067986029769 "MMP"
"568" -0.339396950275486 "MMP"
"569" -0.232328964245716 "MMP"
"570" -0.446464936305255 "MMP"
