Name	Cusps	OPC	 
13973	0	5.5	
10189	1	12.0	
18845	1	10.5	
12492	1	10.5	
2351	1	8.25	
2728	1	9.5	
16302	1	28.0	
14619	1	10.5	
14118	0	9.0	
16403	1	9.75	
42	1	10.0	
5024	1	12.75	
2686	0	8.5	
12393	0	9.0	
10688	1	9.0	
998	1	10.375	
14228	1	9.0	
16733	1	9.75	
5017	1	20.875	
16032	1	12.0	
14529	0	9.25	
2362	1	8.5	
7988	1	9.5	
18577	1	10.5	
13441	1	21.0	
4416	0	7.0	
16931	0	9.5	
13340	1	10.0	
3763	0	10.5	
18276	1	8.5	
471	0	9.75	
7826	1	21.5	
6230	0	8.5	
1492	1	13.625	
13074	0	8.0	
6649	1	12.375	
18142	1	10.5	
18643	1	8.5	
1145	0	9.5	
13775	0	9.375	
9175	1	10.5	
7631	1	9.5	
16306	1	10.5	
3974	1	10.5	
13977	1	10.5	
18841	0	10.25	
12496	0	9.875	
7248	1	11.5	
12397	0	9.5	
8574	0	9.5	
16407	0	9.5	
8547	1	8.125	
16737	0	4.0	
8090	1	23.5	
7602	0	4.25	
16036	1	8.5	
3947	1	10.0	
9146	0	9.5	
2891	1	12.25	
18573	1	10.5	
1176	2	21.375	
13445	1	12.75	
13344	0	9.25	
18272	0	9.875	
924	0	7.25	
9491	0	9.75	
127	1	9.5	
16935	0	10.25	
6203	1	10.5	
13524	1	10.5	
18412	0	8.25	
2959	1	11.75	
6265	1	8.5	
16854	1	10.5	
1569	0	7.25	
9120	0	9.25	
9559	0	9.5	
1110	0	9.5	
18313	1	10.5	
13225	1	10.25	
7664	0	26.0	
16656	0	10.0	
3921	1	10.5	
8521	0	9.5	
16157	1	11.625	
8158	0	8.5	
7380	1	12.5	
18920	1	10.5	
13816	1	10.25	
8512	1	11.25	
16267	0	5.5	
7657	1	8.5	
16566	1	12.5	
17887	1	11.0	
3912	0	8.5	
615	1	10.0	
1123	1	15.0	
18023	1	10.5	
6781	0	9.5	
13115	0	9.25	
17685	0	8.5	
9113	1	18.0	
6256	0	9.5	
17184	1	12.5	
18722	0	10.5	
2808	1	12.25	
1596	1	16.125	
6334	1	11.0	
9071	0	6.5	
1438	1	9.5	
12735	0	9.75	
1041	0	9.375	
9408	1	10.5	
169	0	9.0	
12937	1	17.0	
3870	1	11.625	
17346	1	11.0	
7735	1	9.5	
17447	1	14.75	
8470	0	9.25	
8009	1	12.25	
740	0	10.5	
17777	1	8.5	
8443	1	8.0	
3843	0	8.5	
17076	0	9.25	
483	1	10.5	
7706	1	12.875	
8194	1	12.25	
12405	1	8.25	
1072	0	9.75	
2995	0	21.25	
9042	1	8.5	
16395	0	9.5	
16494	1	12.0	
6307	0	9.25	
17975	0	8.25	
9595	1	19.75	
12304	1	12.75	
6361	0	9.5	
6718	0	9.5	
13885	1	11.5	
12564	0	9.0	
598	0	9.5	
12265	1	8.375	
1014	1	10.75	
9024	0	9.75	
82	0	8.25	
17814	0	9.25	
3825	1	10.5	
17616	1	9.5	
7760	0	9.5	
7319	1	18.25	
13186	1	11.5	
13687	0	6.0	
17117	0	9.5	
8425	0	10.0	
17227	0	10.25	
8416	1	8.375	
18481	1	23.5	
12856	0	9.5	
7284	0	9.5	
871	1	9.75	
18380	1	10.5	
3816	1	31.5	
17526	0	9.25	
7753	1	11.5	
9017	1	10.5	
12155	1	11.75	
6685	1	8.25	
1027	1	12.5	
1189	1	12.0	
12654	1	13.5	
6352	1	10.25	
5871	0	10.0	
1734	0	10.0	
6196	0	9.0	
15065	1	22.25	
9704	1	12.0	
629	0	9.5	
6441	1	8.25	
15764	1	9.5	
6038	1	9.75	
7597	1	11.625	
14487	1	15.5	
8305	0	4.5	
4809	0	7.75	
10317	1	12.625	
7040	1	16.5	
10416	1	11.875	
14386	1	9.5	
7439	0	14.5	
803	1	8.375	
7073	0	9.25	
10726	1	14.25	
8298	0	8.0	
4994	1	10.5	
8336	1	14.25	
10027	1	11.0	
15454	0	9.375	
9699	0	9.25	
6472	0	9.5	
10924	0	9.5	
9737	0	9.5	
5842	0	9.5	
1707	1	18.25	
15355	1	8.0	
918	1	11.5	
1318	1	9.5	
18688	1	8.5	
9751	1	10.5	
9328	1	8.25	
5824	1	8.0	
1761	0	11.0	
15535	1	9.25	
15234	0	9.5	
9286	1	10.5	
10845	1	19.5	
6414	1	8.5	
18189	1	12.75	
8350	0	9.25	
10647	1	32.0	
8729	1	13.875	
8687	1	11.5	
7015	1	29.25	
10146	1	9.5	
7026	1	10.375	
10276	0	10.0	
15807	0	9.5	
732	1	9.0	
8363	1	14.75	
10577	0	7.25	
7188	0	10.0	
6427	1	8.5	
1285	1	10.5	
15104	0	9.0	
5817	1	10.75	
1752	1	15.625	
15605	1	12.25	
6589	1	9.5	
11195	0	8.0	
9762	0	7.5	
9600	1	17.5	
1249	1	27.0	
14025	1	9.5	
6092	1	9.75	
1630	1	10.5	
9279	1	26.5	
5975	1	9.0	
14724	0	7.0	
18978	1	11.25	
6545	1	21.25	
11357	0	9.5	
8201	1	11.0	
8678	1	10.5	
14926	1	9.25	
7493	1	9.375	
11456	1	10.5	
7144	1	23.0	
4890	1	8.75	
11766	1	11.0	
7177	1	10.5	
11067	2	22.0	
8232	0	8.0	
